row,col,slope,aspect_sin,aspect_cos,rain_r7,elevation,river,twi,curvature,label
8253,3619,0.08361496,-0.99227786,0.12403473,74.03288,0.22095671,0.99140614,0.28322855,0.50258875,1.0
8008,4598,0.13775817,0.8944272,0.4472136,49.865414,0.2604404,0.8842544,0.28040707,0.50265485,0.0
5258,5770,0.0,-1.0,-1.8369701e-16,17.10903,0.21298406,0.026184564,0.64174473,0.5025504,0.0
9340,6233,0.29099387,-0.9994449,0.03331483,39.249172,0.59870917,0.8714272,0.2805556,0.502627,1.0
5150,2911,0.07343238,0.14142136,-0.98994946,48.43519,0.22133636,0.7765538,0.2800839,0.5025684,1.0
11771,5565,0.13089152,0.70710677,0.70710677,75.16314,0.050493546,0.5813927,0.28398737,0.5026247,1.0
9025,4600,0.15473218,-0.9912279,-0.13216372,63.27024,0.24639332,0.8558782,0.28244781,0.50260437,1.0
6433,1958,0.21878092,0.27472112,0.96152395,82.37584,0.014426728,0.9237264,0.2829815,0.5026183,0.0
12838,5864,0.11534551,-0.9838699,-0.17888544,74.71515,0.2395596,0.6039594,0.28232896,0.50263745,1.0
4008,2504,0.05203983,0.8,0.6,43.25027,0.20083523,0.7314351,0.2790836,0.5025226,1.0
11877,3460,0.031268463,1.2246469e-16,-1.0,92.81685,0.006833713,0.5019284,0.29046375,0.5026166,0.0
3283,5787,0.0,-1.0,-1.8369701e-16,17.032223,0.22513288,0.0016176765,0.6493136,0.5025893,0.0
6057,2924,0.041665252,0.0,1.0,57.02437,0.21412301,0.8800616,0.27246878,0.5025104,0.0
10703,5028,0.020854957,1.2246469e-16,-1.0,76.39257,0.044419136,0.7281452,0.27928707,0.50258815,1.0
6817,4326,0.09544931,0.7592566,0.65079135,34.6801,0.26461655,0.9129854,0.28484216,0.5025986,1.0
13816,6460,0.09320911,1.0,6.123234e-17,64.865875,0.34851936,0.84846276,0.28519642,0.5025516,1.0
8202,3678,0.04294373,-0.9701425,0.24253562,73.74991,0.2312073,0.822101,0.28367096,0.50256205,1.0
8964,4843,0.085500166,0.24253562,0.9701425,61.848167,0.29384965,0.8681756,0.2858316,0.50253594,1.0
10961,3614,0.05602868,-0.9284767,0.37139067,86.24342,0.008352316,1.0,0.2774707,0.50262064,0.0
5051,3022,0.020854957,-1.0,-1.8369701e-16,44.0163,0.22930904,0.9537323,0.29032746,0.50257885,0.0
7518,9712,0.023314469,0.8944272,0.4472136,14.464071,0.23158693,1.4285476e-05,0.28605303,0.5025818,0.0
6032,5471,0.029482823,-0.70710677,-0.70710677,21.706316,0.23310554,0.17366578,0.2853115,0.50257945,0.0
8203,3679,0.044184793,-0.70710677,-0.70710677,73.740974,0.23158693,0.8197764,0.28944817,0.5025818,1.0
8629,4674,0.20018388,0.65493053,0.7556891,54.330223,0.29612756,0.8098486,0.2815523,0.5025336,1.0
